,product,customer name,rating,review,description
0,Unknown,Flipkart Customer,4,Pretty good,It is a good product but it shine too much.Read full review
1,Unknown,Nithya Shree,4,Wonderful,Nice . But it don't stay for long timeRead full review
2,Unknown,Flipkart Customer,4,Pretty good,The product is very good. Smell is very sweet but it's not tinted!.Read full review
3,Unknown,Flipkart Customer,5,Excellent,good product👍🏻Read full review
4,Unknown,Saina Nayak ,5,Highly recommended,Very nice product and thank you flipcardRead full review
5,Unknown,naghma jamal,3,Nice,Value for money........ Nice product according to price..........Read full review
6,Unknown,Taani,5,Just wow!,ruler actually rule over your heart great shade for indian skin tone and can be wear on any attireRead full review
7,Unknown,Sweta MONDAL,5,Best in the market!,Loved it like always. I trust to use Maybelline through years. Truly worth it. I use only this brand as my makeup. Thanks to u guysRead full review
8,Unknown,Champa Jamatia,5,Mind-blowing purchase,I love all colours it's very beautiful colours ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️...Read full review
9,Unknown,Abhijit  Sarkar,5,Mind-blowing purchase,Very good Product 😊 So happyRead full review
10,Just Herbs Ayurvedic Lipstick Micro-Mini Trial Kit (Multicolor 7 g),Flipkart Customer,NA,NA,5I just loved it...really I suggested to all use it .Thanks 😊
11,Just Herbs Ayurvedic Lipstick Micro-Mini Trial Kit (Multicolor 7 g),Flipkart Customer,NA,NA,3Okay..so here is my genuine review (must read before you choose to buy it) When i first saw the package..i was like..what a joke?..it fits properly into my tiny palms..each lipstick has quantity of 0.4gm which makes total quantity of 7 gms.. that's it people u are paying for 7gms of lipstick not 38gm(pack weight) there are 16 miniscule shades..it doesn't glide that smoothly over lips(i had to use a lipbalm first)but the color stay could be upto 3 hours.Also.. it's not completely natural.. there are...
12,Just Herbs Ayurvedic Lipstick Micro-Mini Trial Kit (Multicolor 7 g),Flipkart Customer,NA,NA,5The 16 shades by numbers
13,Just Herbs Ayurvedic Lipstick Micro-Mini Trial Kit (Multicolor 7 g),Flipkart Customer,NA,NA,NA
14,Just Herbs Ayurvedic Lipstick Micro-Mini Trial Kit (Multicolor 7 g),Flipkart Customer,NA,NA,NA
15,Just Herbs Ayurvedic Lipstick Micro-Mini Trial Kit (Multicolor 7 g),Flipkart Customer,NA,NA,NA
16,Just Herbs Ayurvedic Lipstick Micro-Mini Trial Kit (Multicolor 7 g),Flipkart Customer,NA,NA,NA
17,Just Herbs Ayurvedic Lipstick Micro-Mini Trial Kit (Multicolor 7 g),Flipkart Customer,NA,NA,NA
18,Just Herbs Ayurvedic Lipstick Micro-Mini Trial Kit (Multicolor 7 g),Flipkart Customer,NA,NA,NA
19,Just Herbs Ayurvedic Lipstick Micro-Mini Trial Kit (Multicolor 7 g),Flipkart Customer,NA,NA,NA
20,MyGlamm POPxo Makeup Collection -Mini Lip Kit (Power Trip 7.5 g),Flipkart Customer,NA,NA,4Its nice.... Does the work
21,MyGlamm POPxo Makeup Collection -Mini Lip Kit (Power Trip 7.5 g),Flipkart Customer,NA,NA,3Not bad . According to price it's a good product p👌
22,MyGlamm POPxo Makeup Collection -Mini Lip Kit (Power Trip 7.5 g),Flipkart Customer,NA,NA,4Colours are beautiful...and matte lipstick
23,MyGlamm POPxo Makeup Collection -Mini Lip Kit (Power Trip 7.5 g),Flipkart Customer,NA,NA,NA
24,MyGlamm POPxo Makeup Collection -Mini Lip Kit (Power Trip 7.5 g),Flipkart Customer,NA,NA,NA
25,MyGlamm POPxo Makeup Collection -Mini Lip Kit (Power Trip 7.5 g),Flipkart Customer,NA,NA,NA
26,MyGlamm POPxo Makeup Collection -Mini Lip Kit (Power Trip 7.5 g),Flipkart Customer,NA,NA,NA
27,MyGlamm POPxo Makeup Collection -Mini Lip Kit (Power Trip 7.5 g),Flipkart Customer,NA,NA,NA
28,MyGlamm POPxo Makeup Collection -Mini Lip Kit (Power Trip 7.5 g),Flipkart Customer,NA,NA,NA
29,MyGlamm POPxo Makeup Collection -Mini Lip Kit (Power Trip 7.5 g),Flipkart Customer,NA,NA,NA
30,Unknown,Flipkart Customer,NA,NA,4Good pigmentation
31,Unknown,Flipkart Customer,NA,NA,5Nice product 👌
32,Unknown,Flipkart Customer,NA,NA,5Super 👌👌💖
